"Ranking","Gap","NPSN","Sekolah","Nilai.Total","Provinsi","Kab.Kota","Jenis"
607,-63,20402796,"SMA NEGERI 1 SENTOLO",527.645,"DI YOGYAKARTA","KAB. KULON PROGO","SMA"
608,-71,20103258,"SMAN 93 JAKARTA",527.608,"DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
609,-159,20206209,"SMAN 1 MARGAHAYU",527.607,"JAWA BARAT","KAB. BANDUNG","SMA"
610,321,20534387,"SMAN 3 KEDIRI",527.47,"JAWA TIMUR","KOTA KEDIRI","SMA"
611,NA,20229186,"SMAS YASPEN TUGU IBU",527.374,"JAWA BARAT","KOTA DEPOK","SMA"
612,6,20305013,"SMAN 1 KUTOWINANGUN",527.347,"JAWA TENGAH","KAB. KEBUMEN","SMA"
613,NA,20329844,"SMAN 4 TEGAL",527.304,"JAWA TENGAH","KOTA TEGAL","SMA"
614,NA,20302104,"SMKN 1 BANYUMAS",527.293,"JAWA TENGAH","KAB. BANYUMAS","SMK"
615,-189,20533638,"SMAS KATOLIK COR YESU",527.283,"JAWA TIMUR","KOTA MALANG","SMA"
616,NA,10210857,"SMAN 4 MEDAN",527.261,"SUMATERA UTARA","KOTA MEDAN","SMA"
617,124,20580048,"MAN 2 KOTA MADIUN",527.163,"JAWA TIMUR","KOTA MADIUN","MA"
618,-3,20318337,"SMA NEGERI 1 WELAHAN",527.15,"JAWA TENGAH","KAB. JEPARA","SMA"
619,-23,20339022,"SMA NEGERI 1 TAYU",527.133,"JAWA TENGAH","KAB. PATI","SMA"
620,-109,20103784,"SMKN 48 JAKARTA",527.121,"DKI JAKARTA","KOTA JAKARTA TIMUR","SMK"
621,-79,20606829,"SMAN 7 TANGERANG",527.082,"BANTEN","KOTA TANGERANG","SMA"
622,-39,20501862,"SMAN 1 GEDANGAN",527.069,"JAWA TIMUR","KAB. SIDOARJO","SMA"
623,86,20363282,"MAN 2 YOGYAKARTA",527.052,"DI YOGYAKARTA","KOTA YOGYAKARTA","MA"
624,-81,30304260,"SMAN 7 BANJARMASIN",527.049,"KALIMANTAN SELATAN","KOTA BANJARMASIN","SMA"
625,121,20100223,"SMAN 27 JAKARTA",526.969,"DKI JAKARTA","KOTA JAKARTA PUSAT","SMA"
626,133,20300732,"SMA NEGERI 1 MAJENANG",526.862,"JAWA TENGAH","KAB. CILACAP","SMA"
627,323,20340792,"SMKN 1 KARANGANYAR",526.812,"JAWA TENGAH","KAB. KARANGANYAR","SMK"
628,-230,20321428,"SMA NEGERI 1 PARAKAN",526.747,"JAWA TENGAH","KAB. TEMANGGUNG","SMA"
629,NA,20319300,"SMAN 2 MRANGGEN",526.714,"JAWA TENGAH","KAB. DEMAK","SMA"
630,354,20584466,"MAN 2 PONOROGO",526.713,"JAWA TIMUR","KAB. PONOROGO","MA"
631,324,20100796,"SMAN 72 JAKARTA",526.686,"DKI JAKARTA","KOTA JAKARTA UTARA","SMA"
632,-87,20223032,"SMAN 11 BEKASI",526.668,"JAWA BARAT","KOTA BEKASI","SMA"
633,-202,20206151,"SMAN 1 BALEENDAH",526.623,"JAWA BARAT","KAB. BANDUNG","SMA"
634,NA,69947314,"SMA ISLAM TERPADU BAITUSSALAM",526.622,"DI YOGYAKARTA","KAB. SLEMAN","SMA"
635,-97,20362426,"SMAS ISLAM AL-AZHAR SOLO BARU",526.61,"JAWA TENGAH","KAB. SUKOHARJO","SMA"
636,250,20330459,"SMKN 1 PURWOKERTO",526.567,"JAWA TENGAH","KAB. BANYUMAS","SMK"
637,-263,30304597,"SMAN 1 BANJARBARU",526.509,"KALIMANTAN SELATAN","KOTA BANJARBARU","SMA"
638,NA,69946189,"SMA MUHAMMADIYAH 10 GKB GRESIK",526.374,"JAWA TIMUR","KAB. GRESIK","SMA"
639,79,20203739,"SMAN 1 CIANJUR",526.361,"JAWA BARAT","KAB. CIANJUR","SMA"
640,-201,20300731,"SMA NEGERI 1 MAOS",526.348,"JAWA TENGAH","KAB. CILACAP","SMA"
641,-121,10302476,"SMAN 1 BATU SANGKAR",526.342,"SUMATERA BARAT","KAB. TANAH DATAR","SMA"
642,NA,20320386,"SMA NEGERI 1 BERGAS",526.186,"JAWA TENGAH","KAB. SEMARANG","SMA"
643,-126,20308442,"SMAN 1 SIMO",526.048,"JAWA TENGAH","KAB. BOYOLALI","SMA"
644,NA,20328878,"SMA NEGERI 10",525.996,"JAWA TENGAH","KOTA SEMARANG","SMA"
